asi_slno,raw_text,page
121,Bhimesvara temple Mukhalingesvara Srikakulam,8
122,Mukhalingesvara temple Mukhalingesvara Srikakulam,8
123,"Buddhist remains: Salihundam Srikakulam (i) Six Images, (ii) Three images and some more images on the hill, (iii) One image, (iv) Three images",8
124,Eastern portion of Salihundam hill Salihundam Srikakulam containing Buddhist remains ( A Chaitya and four stupas),8
125,Ancient Buddhist Mounds locally known Kotturu (near Vishakhapatnam as 'Dhana Dibbalu' Gokivada forest),8
126,"Buddhist rock-cut stupas, Dagebas and Sankaram Vishakhapatnam caves and the ruins of a structural Chaitya with its outbuilding and other Ancient remains on twoadjoining hills known as Bojjanna Konda.",8
127,Durga Bhairavakonda having an ancient Neelavati Vizianagaram monument called Durga,8
128,Ruined Buddhist Monastery at Ramathirtham Vizianagaram Gurubhaktulakonda,8
129,The old temple (Dibbesvarasvami temple) Sarapalli Vizianagaram (Sarapalle),8
130,Mounds containing Buddhist remains Arugolanu West Godavari,8
131,Mounds locally known as Bhimalingadibba Denduluru West Godavari,8
132,"Buddhist monuments Guntupalle West Godavari (i) Rock-cut temple, (ii) Large Monastery, (iii) Small Monastery,(iv) Brick Chaitya, (v) Ruined Mandapa, (vi) Stone built Stupa andLarge group of stupas",8
133,The caves and structural stupa of Jilakarragudem West Godavari Archaeological interest on (Hamlet of Dharmalingesvarasvami hill Guntupalle),8
134,Ancient Mounds in S.No. 501-1 Pedavegi West Godavari,8
135,"The mounds of Pedavegi : Dibba No.1 Pedavegi West Godavari Dibba No.2, Dibba No. 3, Dibba No. 4, Dibba No. 5. 8",8
2,List of Centrally Protected Monuments / Sites under the jurisdiction of Arunachal Pradesh (Guwahati Circle) Sl.No. Name of the Monument / Site Locality District,9
1,"Copper temple near Sadiya, Lohit Near sadia Lohit",9
2,"Ruins, Bhalukpang Bhalukpong W. Kameng (Balipara) (Balipara)",9
3,"Remains in Bhismak Nagar, Debang Valle Debang Valley W. Kameng 9",9
3,List of Centrally Protected Monuments / Sites under the jurisdiction of Assam (Guwahati Circle) Sl.No. Name of the Monument / Site Locality District,10
1,Bordole temple Biswanathghat Biswanath,10
2,Grave of Lieutenant Lewis Biswanathghat Biswanath,10
3,Grave of Lieutenant Thomas Kennedy. Biswanathghat Biswanath,10
4,The rock known as” Bishwanath Sivalinga” Biswanathghat Biswanath,10
5,Dhandi temple Dhandi (Gohpur) Biswanath,10
6,The rock known as “Sakreswar” The island Biswanath “Unatumani” in the neighbourhood of village Bishwanath,10
7,Ancient Caves (Ancient Tombs) Jogighopa Bongaigaon,10
8,"Cachari Ruins viz. A small unfinished Khaspur Cachar dwelling house, Snan Mandir, Singha Darwaja, The temple of Ranachandi, The Baradwari, Two small temples & The east wall",10
9,Group of Four Maidams Chairaideo Chairaideo,10
10,Idgah on the Rangamati Hill with its Panbari Dhubri enclose Walls and a space of 16’-20’ (Rangamati Hill) around there,10
11,Rangamati Mosque and the ablution tank Panbari Dhubri attached thereto (Rangamati Hill),10
12,The Derebara Group of monoliths Dubungling Dima-Hasao (N.C.Hills),10
13,TheKhartong Group of monoliths Kartongsip Dima-Hasao (N.C.Hills),10
14,The Kobak Group of monoliths Khobak Dima-Hasao (N.C.Hills),10
15,Rock-cut temple Maibang Dima-Hasao (N.C.Hills),10
16,Two inscribed Stones Maibang Dima-Hasao (N.C.Hills),10
17,Bolosan Group of monoliths Nuchubunglo Dima-Hasao (N.C.Hills),10
18,Tomb of Lieutenant Cresswell Goalpara Goalpara,10
