monument_id,asi_slno,name,locality,district,state,circle,page,raw_text
ASI-00056,56,Reconstructed monumets at Anupu Nagarjunakonda Guntur andNagarjunklonda hilltop,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Reconstructed monumets at Anupu Nagarjunakonda Guntur andNagarjunklonda hilltop
ASI-00057,57,Mounds within the limit of Nagulavaram Nagulavaram Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,Mounds within the limit of Nagulavaram Nagulavaram Guntur
ASI-00058,58,The Sculptures,carvings,images,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,"The Sculptures, carvings, images, bas Pullareddigudem Guntur relief on the ancient mound"
ASI-00059,59,(i) The mounds with remains of ancient Pullareddigudem Guntur building between the hillock of (Agarharam) Nagarjuna Konda and the village of Pullareddigudem (ii) Mounds adjacent to the hillock reddigudem 5 Sl.No. Name of the Monument / Site Locality District (iii) Hill of Nagarjunakonda with the ancient remains,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,5,(i) The mounds with remains of ancient Pullareddigudem Guntur building between the hillock of (Agarharam) Nagarjuna Konda and the village of Pullareddigudem (ii) Mounds adjacent to the hillock reddigudem 5 Sl.No. Name of the Monument / Site Locality District (iii) Hill of Nagarjunakonda with the ancient remains
ASI-00060,60,Four-storeyed rock-cut Hindu temple Undavalli Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Four-storeyed rock-cut Hindu temple Undavalli Guntur
ASI-00061,61,The Mounds with ancient remains Velpur Guntur,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,The Mounds with ancient remains Velpur Guntur
ASI-00062,62,Vigneswara swami temple Chilamakuru Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Vigneswara swami temple Chilamakuru Kadapa YSR
ASI-00063,63,Agatheswarswami Temple Chilamkuru Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Agatheswarswami Temple Chilamkuru Kadapa YSR
ASI-00064,64,Remains of the buried Jain temple Danavulapadu Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Remains of the buried Jain temple Danavulapadu Kadapa YSR
ASI-00065,65,Fort with enclosed ancient buildings,Gandikota Kadapa YSR Madhavaperumal temple and tower known as Madarsala,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,"Fort with enclosed ancient buildings, Gandikota Kadapa YSR Madhavaperumal temple and tower known as Madarsala"
ASI-00066,66,Saumyanatha temple Nandalur Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Saumyanatha temple Nandalur Kadapa YSR
ASI-00067,67,Ancient Village site Peddamudiyan Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Ancient Village site Peddamudiyan Kadapa YSR
ASI-00068,68,Kothandaramaswami Temple Peddamudiyan Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Kothandaramaswami Temple Peddamudiyan Kadapa YSR
ASI-00069,69,Mukunteswara temple with inscriptions Peddamudiyan Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Mukunteswara temple with inscriptions Peddamudiyan Kadapa YSR
ASI-00070,70,Narasimha temple Peddamudiyan Kadapa YSR,,,Vadodara Circle 170 Daman & Diu (U.T) 11 Gujarat 159 Total 3698 3698 2 Map indicating Circles of Archaeological Survey of India 3,Vadodara Circle,6,Narasimha temple Peddamudiyan Kadapa YSR
